# BEAST v1.10.4
# Generated Wed Jul 24 13:10:57 BST 2024 [seed=1721823056415]
# -save_every 1000 -save_state results/out/checkpoint.state results/in/input.xml
# keywords: skygrid
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.cutOff	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
13000	-12156.692852473356	-1133.1292690237674	-11023.563583449588	19.232016514410216	2004.2967506088776	758.5196603169328	1.454240192872557	4.874187621468822	5.546163232033967	5.134960367168803	5.338049667407203	5.362124830340971	4.424922816084361	5.4150711642610645	6.592742946445654	7.056667626415921	6.4224554871972686	5.7301119068742254	6.0056704551761575	4.97663606145877	3.8644311647936	7.0	5.044983606953307	9.05494607442952	0.3730327288111592	0.1892287852227319	0.1835582710753943	0.25418021489071474	0.1062249896280919	0.29808480136350957	0.692811276924578	0.30718872307542255	1.039216915386867	0.9215661692262677	0.002389553266941537	0.0023895532669415387	-11023.563583449588	0.0	-1125.466586128068
14000	-11984.949337885157	-1134.7471732626323	-10850.202164622524	19.71626191950316	2003.8125052037844	766.5348808006243	4.631817433636582	5.885785288669663	5.955097085785416	5.672187901860448	5.022951630922507	5.220879982981232	5.256829757228176	5.544926675486653	5.7555577196155765	5.774753655683121	5.892221148283669	5.9627506258496705	5.657106893236213	5.227548500271002	3.8707737414642085	7.0	5.044983606953307	8.589239279891165	0.3763703573747779	0.1719230910157641	0.20861566463619513	0.24309088697326298	0.11217658821532789	0.30699259434798165	0.692811276924578	0.30718872307542255	1.039216915386867	0.9215661692262677	0.002082308104779675	0.002082308104779674	-10850.202164622524	0.0	-1126.2772903831583
15000	-11841.60568654453	-1153.4936036172135	-10688.112082927317	20.344087215270697	2003.184679908017	795.008783671192	2.446095766445797	6.99747253467075	6.574316226495483	5.876891866038434	5.122657484049336	5.689198572638296	4.933040473947488	5.067918006155752	5.5647981445063825	5.609004808589567	5.233975315723556	6.573249248121878	5.969556291930731	5.060308643713692	4.109680283187511	7.0	5.044983606953307	10.391424052726341	0.3564749000174556	0.19181854837308648	0.20006037045732045	0.25164618115213766	0.11621490298343976	0.3432651011701918	0.6968946744688165	0.30310532553118413	1.0453420117032248	0.9093159765935523	0.00205747710240313	0.0020574771024031305	-10688.112082927317	0.0	-1145.2254580111771
16000	-11621.534329111015	-1158.2487041945863	-10463.285624916429	20.37236343499013	2003.1564036882976	820.846418834047	2.446095766445797	4.199829639970542	5.184380632809204	5.161193901327309	5.14504166735312	5.6756629137713945	5.265064853558145	5.490037875178368	6.1861866569631125	6.082870189921228	6.064469565927927	6.121524789323267	5.36790122148733	5.403945810609171	4.002343276223551	7.0	5.715771202254498	8.04582288393388	0.36936443721041656	0.19181854837308648	0.20006037045732045	0.23875664395917667	0.11720296984523239	0.3406420185585166	0.6480712746864045	0.35192872531359615	0.9721069120296066	1.0557861759407885	0.0015056897226265438	0.001505689722626547	-10463.285624916429	0.0	-1150.8309223140318
17000	-11251.63972134443	-1160.1452555828776	-10091.494465761552	21.10652043108766	2002.4222466922001	837.19871077984	1.8741161451144615	6.953840132777048	6.317928752295433	5.50506585937112	4.8385117780576605	5.244670363713277	4.955761109026267	4.964970524116836	6.0215397126321495	6.145949577477338	6.580790829841661	6.719700930603731	5.921439935396263	5.517437796946774	4.147636951860598	7.0	5.6106639517948915	8.890706843440952	0.36936443721041656	0.19181854837308648	0.20006037045732045	0.23875664395917667	0.11277667204644264	0.3706363301348383	0.6451436940839469	0.35485630591605366	0.9677155411259204	1.064568917748161	0.0014369148444265574	0.0014369148444265583	-10091.494465761552	0.0	-1152.8640813814866
18000	-11147.321534316412	-1170.7503092106308	-9976.571225105781	24.349024995169554	1999.179742128118	860.3183611105611	1.9566610439637069	6.259991785667336	5.892953762927575	6.507565762917466	6.051902781201498	4.909827991958752	5.040727460560411	5.678325537788489	6.872465583088619	6.0445884302087	7.182687833419689	6.091311978600032	5.916660177485524	5.083735888872805	4.254794194877899	7.0	6.070280515231224	8.074094266224694	0.36936443721041656	0.19181854837308648	0.20006037045732045	0.23875664395917667	0.09964262659290256	0.4107847191471853	0.6091003371839626	0.3908996628160378	0.9136505057759439	1.1726989884481134	0.0012564051789052952	0.0012564051789052955	-9976.571225105781	0.0	-1163.6239900797434
19000	-10988.96990566619	-1163.9905673035585	-9824.979338362631	23.002940632600197	2000.5258264906875	861.5807507949914	1.8720791838484034	5.515961282583359	5.76930777052839	6.686391695529112	5.8123202321806104	5.0032788550484755	4.402186033357703	5.278914362985684	5.8056795983508875	5.46861746150351	6.933409917064051	6.1852322363067165	6.084702699040879	4.829067062259411	4.3863078263503095	7.0	5.714106881978026	9.845842508846268	0.36936443721041656	0.1810228523630555	0.21085606646735144	0.23875664395917667	0.10917080700641468	0.4107847191471853	0.5378451156391643	0.4621548843608361	0.8067676734587463	1.3864646530825084	0.0010943520715322053	0.0010943520715322055	-9824.979338362631	0.0	-1156.838415564897
20000	-10802.77848753416	-1161.0476837760177	-9641.730803758142	24.70762802937782	1998.8211390939098	869.0387315317439	0.5073927521450959	5.8057229852748256	6.238115628173552	6.516605567132603	6.1728321747548645	4.619648742607835	5.0366231340575345	6.028886724988328	5.0603190257549455	5.983592391523812	7.519351366106462	6.67265258430723	7.486769798194284	5.290229006107847	4.13189225324598	7.0	5.826339357980025	9.816005429931236	0.36230338296419223	0.18808390660927982	0.20919237976899308	0.24042033065753504	0.06138850664005502	0.397191589883728	0.5269516052536585	0.473048394746342	0.7904274078804877	1.4191451842390261	8.330854047637645E-4	8.330854047637649E-4	-9641.730803758142	0.0	-1155.660162680275
21000	-10659.666336434177	-1152.4172754593715	-9507.249060974806	23.078373455798694	2000.450393667489	859.241051716711	0.5241734556082509	4.689517406512213	6.648102536769734	5.658666764773609	7.043315124770053	4.755425307603394	4.812136487077436	7.021956541823613	4.807084447724227	5.74327252194077	6.947167432804673	6.981039307431948	6.237816679589808	5.9956134178121046	4.220637763455335	7.0	4.532724724812008	8.94812177050431	0.3715030203264331	0.2002096985074538	0.19151562198283215	0.23677165918328108	0.08892023740493482	0.4346720970008177	0.4586404119808382	0.5413595880191624	0.6879606179712573	1.6240787640574872	9.020731635485014E-4	9.020731635485032E-4	-9507.249060974806	0.0	-1147.2899417961935
22000	-10559.238289886242	-1152.9800313473063	-9406.258258538935	23.87366314955596	1999.6551039737317	845.8861832521897	0.5241734556082509	6.581225444861742	4.9098639153523775	5.750668868343994	6.269414038782983	4.601570620711493	5.1489762944148	5.83452513385471	4.545583699985552	5.563377355420084	7.548098889016857	7.0177978648084425	5.984698711557782	5.255356854143068	4.1888568144880045	7.0	4.532724724812008	9.841443758344479	0.3885479914938194	0.18316472734006747	0.19867027208442986	0.22961700908168337	0.09999118103666886	0.48975785746760075	0.47899643089786775	0.5210035691021329	0.7184946463468016	1.5630107073063986	8.034177271626672E-4	8.034177271626661E-4	-9406.258258538935	0.0	-1147.6953434190737
